Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-04-27,97.6,97.9,93.91,95.82,95.82,48272780,0,1
2018-04-26,93.55,95.15,93.1,94.26,94.26,42529043,0,1
2018-04-25,93.3,93.3,90.28,92.31,92.31,33729257,0,1
2018-04-24,96.242,96.47,92.41,93.12,93.12,34524799,0,1
2018-04-23,95.7436,96.29,94.63,95.35,95.35,22331829,0,1
2018-04-20,95.91,96.11,94.05,95,95,31154377,0,1
2018-04-19,96.44,97.07,95.34,96.11,96.11,23552541,0,1
2018-04-18,96.22,96.72,95.52,96.44,96.44,21043287,0,1
2018-04-17,95,96.54,94.88,96.07,96.07,26771000,0,1
2018-04-16,94.07,94.66,93.42,94.17,94.17,20288083,0,1
2018-04-13,94.05,94.18,92.44,93.08,93.08,23346063,0,1
2018-04-12,92.43,94.16,92.43,93.58,93.58,26758879,0,1
2018-04-11,92.01,93.29,91.48,91.86,91.86,24872110,0,1
2018-04-10,92.39,93.28,91.64,92.88,92.88,26939883,0,1
2018-04-09,91.04,93.17,90.62,90.77,90.77,31533943,0,1
2018-04-06,91.49,92.46,89.48,90.23,90.23,38026000,0,1
2018-04-05,92.435,93.065,91.4,92.38,92.38,29771881,0,1
2018-04-04,87.85,92.76,87.73,92.33,92.33,35559956,0,1
2018-04-03,89.575,90.05,87.89,89.71,89.71,37213837,0,1
2018-04-02,90.47,90.88,87.51,88.52,88.52,48515417,0,1
2018-03-29,90.18,92.29,88.4,91.27,91.27,45867548,0,1
2018-03-28,89.82,91.23,88.873,89.39,89.39,52501146,0,1
2018-03-27,94.94,95.139,88.51,89.47,89.47,53704562,0,1
2018-03-26,90.61,94,90.4,93.78,93.78,55031149,0,1
2018-03-23,89.5,90.46,87.08,87.18,87.18,42159397,0,1
2018-03-22,91.265,91.75,89.66,89.79,89.79,37578166,0,1
2018-03-21,92.93,94.05,92.21,92.48,92.48,23753263,0,1
2018-03-20,93.05,93.77,93,93.13,93.13,21787780,0,1
2018-03-19,93.74,93.9,92.11,92.89,92.89,31752589,0,1
2018-03-16,94.68,95.38,93.92,94.6,94.6,47329521,0,1
2018-03-15,93.53,94.58,92.83,94.18,94.18,26279014,0,1
2018-03-14,95.12,95.41,93.5,93.85,93.85,31576898,0,1
2018-03-13,97,97.24,93.97,94.41,94.41,34445391,0,1
2018-03-12,96.5,97.21,96.04,96.77,96.77,25333720,0,1
2018-03-09,95.29,96.54,95,96.54,96.54,36145524,0,1
2018-03-08,94.27,95.1,93.765,94.43,94.43,24861307,0,1
2018-03-07,93.16,93.9406,92.43,93.86,93.86,26716127,0,1
2018-03-06,94.34,94.49,92.941,93.32,93.32,22175776,0,1
2018-03-05,92.34,94.27,92.26,93.64,93.64,23901578,0,1
2018-03-02,91.58,93.15,90.86,93.05,93.05,32830389,0,1
2018-03-01,93.99,94.57,91.84,92.85,92.85,37135561,0,1
2018-02-28,94.84,95.705,93.63,93.77,93.77,29314525,0,1
2018-02-27,95.74,95.84,94.2,94.2,94.2,25540755,0,1
2018-02-26,94.4,95.45,94.25,95.42,95.42,29760276,0,1
2018-02-23,92.75,94.07,92.36,94.06,94.06,25779955,0,1
2018-02-22,92.05,92.73,91.36,91.73,91.73,22723756,0,1
2018-02-21,92.98,93.3595,91.49,91.49,91.49,26081953,0,1
2018-02-20,91.475,93.06,91.01,92.72,92.72,30107057,0,1
2018-02-16,92.45,93.5,91.8,92,92,30188535,0,1
2018-02-15,91.21,92.72,90.62,92.66,92.66,27407914,0,1
2018-02-14,88.51,90.99,88.41,90.81,90.81,34314101,0.42,1
2018-02-13,88.93,90,87.8,89.83,89.4164,26200053,0,1
2018-02-12,88.735,89.78,87.9295,89.13,88.7197,35501368,0,1
2018-02-09,86.3,88.93,83.83,88.18,87.774,57408480,0,1
2018-02-08,89.71,89.875,84.76,85.01,84.6186,47485202,0,1
2018-02-07,90.49,91.77,89.2,89.61,89.1975,40340551,0,1
2018-02-06,86.89,91.475,85.25,91.33,90.9095,66157030,0,1
2018-02-05,90.56,93.24,88,88,87.5949,42253469,0,1
2018-02-02,93.64,93.97,91.5,91.78,91.3575,47076959,0,1
2018-02-01,94.79,96.07,93.5813,94.26,93.8261,46645657,0,1
2018-01-31,93.75,95.4,93.51,95.01,94.5726,44284284,0,1
2018-01-30,93.3,93.66,92.1,92.74,92.313,34153798,0,1
2018-01-29,95.14,95.45,93.72,93.92,93.4876,30409620,0,1
2018-01-26,93.12,94.06,92.58,94.06,93.627,26348999,0,1
2018-01-25,92.465,93.24,91.93,92.33,91.9049,23983094,0,1
2018-01-24,92.55,93.43,91.58,91.82,91.3973,32107765,0,1
2018-01-23,91.9,92.3,91.54,91.9,91.4769,22283365,0,1
2018-01-22,90,91.62,89.74,91.61,91.1883,23190700,0,1
2018-01-19,90.14,90.61,89.66,90,89.5857,34896964,0,1
2018-01-18,89.8,90.67,89.66,90.1,89.6852,22931303,0,1
2018-01-17,89.08,90.28,88.75,90.14,89.725,24659472,0,1
2018-01-16,90.1,90.79,88.0104,88.35,87.9433,35945428,0,1
2018-01-12,88.67,89.78,88.45,89.6,89.1875,24000439,0,1
2018-01-11,88.13,88.13,87.24,88.08,87.6745,16529868,0,1
2018-01-10,87.86,88.19,87.41,87.82,87.4157,18129153,0,1
2018-01-09,88.65,88.7272,87.86,88.22,87.8139,19390427,0,1
2018-01-08,88.2,88.58,87.6046,88.28,87.8736,20293930,0,1
2018-01-05,87.66,88.41,87.43,88.19,87.784,22526563,0,1
2018-01-04,86.59,87.66,86.57,87.11,86.709,21145985,0,1
2018-01-03,86.055,86.51,85.97,86.35,85.9525,24173064,0,1
2018-01-02,86.125,86.31,85.5,85.95,85.5543,21993101,0,1
2017-12-29,85.63,86.05,85.5,85.54,85.1462,18162779,0,1
2017-12-28,85.9,85.93,85.55,85.72,85.3254,9872795,0,1
2017-12-27,85.65,85.98,85.215,85.71,85.3154,13000828,0,1
2017-12-26,85.31,85.5346,85.03,85.4,85.0068,9737412,0,1
2017-12-22,85.4,85.63,84.92,85.51,85.1163,14033977,0,1
2017-12-21,86.05,86.1,85.4,85.5,85.1064,16638402,0,1
2017-12-20,86.2,86.3,84.71,85.52,85.1263,23425009,0,1
2017-12-19,86.35,86.35,85.27,85.83,85.4349,23241979,0,1
2017-12-18,87.12,87.4999,86.23,86.38,85.9823,21551076,0,1
2017-12-15,85.26,87.09,84.88,86.85,86.4502,52430167,0,1
2017-12-14,85.43,85.8739,84.53,84.69,84.3001,19080106,0,1
2017-12-13,85.74,86,85.17,85.35,84.9571,21307911,0,1
2017-12-12,85.31,86.05,85.08,85.58,85.186,23534946,0,1
2017-12-11,84.29,85.37,84.12,85.23,84.8376,19909119,0,1
2017-12-08,83.63,84.58,83.33,84.16,83.7725,23825056,0,1
2017-12-07,82.54,82.8,82,82.49,82.1102,20378114,0,1
2017-12-06,81.55,83.14,81.43,82.78,82.3989,24821403,0,1
2017-12-05,81.34,82.68,80.9801,81.59,81.2144,25512120,0,1
2017-12-04,84.42,84.4299,80.7,81.08,80.7067,37977732,0,1